GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.book.bookCartegory.dto.request,CreateBookCategoryRequest,4,9,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.entity.memberAuth,QMemberAuth,79,0,4,0,15,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.entity.memberAuth,MemberAuth,33,3,0,0,5,1,7,1,7,1
bookstore,com.nhnacademy.bookstore.book.bookCartegory.repository.impl,BookCategoryCustomRepositoryImpl,0,228,0,0,0,38,0,5,0,5
bookstore,com.nhnacademy.bookstore.member.member.exception,MemberNotExistsException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,DeleteTagRequest,0,10,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,DeleteTagRequest.DeleteTagRequestBuilder,4,14,0,0,0,1,1,3,1,3
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,UpdateTagRequest,0,13,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,CreateTagRequest.CreateTagRequestBuilder,4,14,0,0,0,1,1,3,1,3
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,CreateTagRequest,0,10,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.book.tag.dto.request,UpdateTagRequest.UpdateTagRequestBuilder,6,21,0,0,0,1,1,4,1,4
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.response,ReadPurchaseResponse,0,34,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.response,ReadPurchaseResponse.ReadPurchaseResponseBuilder,29,65,0,0,0,1,2,10,2,10
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,CreatePurchaseRequest,0,19,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,ReadDeletePurchaseGuestRequest.ReadDeletePurchaseGuestRequestBuilder,28,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,UpdatePurchaseMemberRequest,0,10,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,CreatePurchaseRequest.CreatePurchaseRequestBuilder,10,35,0,0,0,1,1,6,1,6
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,UpdatePurchaseGuestRequest,0,16,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,UpdatePurchaseGuestRequest.UpdatePurchaseGuestRequestBuilder,10,28,0,0,0,1,1,5,1,5
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,ReadDeletePurchaseGuestRequest,4,9,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.purchase.purchase.dto.request,UpdatePurchaseMemberRequest.UpdatePurchaseMemberRequestBuilder,5,14,0,0,0,1,1,3,1,3
